Ad Set Name,Ad name,Result type,Results,Reach,Impressions,Cost per result,Amount spent (INR),Clicks (all),CTR (all),CPC (All),Reporting starts,Reporting ends,,
Lipoma-Coimbatore-Sep23,Lipoma-Coimbatore-Video,Meta Leads,70,235498,482468,624.21,43694.48,2747,0.56936419,15.9062541,2023-09-01,2023-09-30,,
Lipoma-Chennai-Sep23,Lipoma-Chennai-Video,Meta Leads,80,247162,446255,412.80,33024.28,1760,0.39439334,18.76379545,2023-09-01,2023-09-30,,
Circumcision-Kochi-Sep23,Circumcision-Kochi-Banana on surgeon's hand,Meta Leads,72,158168,323034,297.51,21420.78,2450,0.7584341,8.74317551,2023-09-01,2023-09-30,,
Lipoma-Trivandrum-Sep23,Lipoma-Trivandrum-Video,Meta Leads,44,135510,278108,462.79,20362.73,1586,0.57028205,12.83904792,2023-09-01,2023-09-30,,
Lipoma-Vizag-Sep23,Lipoma-Vizag-Video,Meta Leads,71,106238,193100,277.31,19688.90,1498,0.77576385,13.14345794,2023-09-01,2023-09-30,,
Gynecomastia-Trivandrum-Sep23,Gynecomastia-Trivandrum-Grade 1 to 4,Meta Leads,66,126013,204360,211.70,13972.38,1069,0.5230965,13.0705145,2023-09-01,2023-09-30,,
Circumcision-Chennai-Sep23,Circumcision-Chennai-Pen,Meta Leads,15,44397,71171,856.50,12847.44,363,0.5100392,35.39239669,2023-09-01,2023-09-30,,
Circumcision-Chennai-Sep23,Circumcision-Chennai-Video,Meta Leads,14,44661,70293,915.50,12816.93,468,0.66578464,27.38660256,2023-09-01,2023-09-30,,
Circumcision-Trivandrum-Sep23,Circumcision-Trivandrum-Banana on surgeon's hand,Meta Leads,29,116602,202269,441.76,12811.06,1162,0.5744825,11.02500861,2023-09-01,2023-09-30,,
Lipoma-Hyderabad-Sep23,Lipoma-Hyderabad-Video,Meta Leads,83,98459,148058,147.23,12219.72,1150,0.77672264,10.62584348,2023-09-01,2023-09-30,,
Lipoma-Bangalore-Sep23,Lipoma-Bangalore-Video,Meta Leads,55,91375,130470,200.34,11018.57,856,0.65608952,12.87216121,2023-09-01,2023-09-30,,
Lipoma-Kochi-Sep23,Lipoma-Kochi-Video,Meta Leads,30,62730,109450,363.93,10917.93,811,0.74097762,13.4623058,2023-09-01,2023-09-30,,
Piles-Kochi-Sep23,Piles-Kochi-plastic body & tissue paper,Meta Leads,22,117330,168140,476.70,10487.29,626,0.37230879,16.75285942,2023-09-01,2023-09-30,,
Gynecomastia-Kochi-Sep23,Gynecomastia-Kochi-Grade 1 to 4,Meta Leads,52,101883,155819,198.17,10304.75,711,0.45629865,14.49331927,2023-09-01,2023-09-30,,
Gynecomastia-Hyderabad-Sep23,Gynecomastia-Hyderabad-Man holding bag strap,Meta Leads,44,59259,85892,173.63,7639.59,743,0.86503982,10.28208614,2023-09-01,2023-09-30,,
Cataract-Chennai-Sep23,Cataract-Chennai-Video,Meta Leads,13,32093,45313,583.61,7586.99,324,0.71502659,23.4166358,2023-09-01,2023-09-30,,
Circumcision-Trivandrum,Circumcision-Trivandrum-Rollon,Meta Leads,11,45030,76573,665.76,7323.31,599,0.78226007,12.22589316,2023-09-01,2023-09-30,,
Circumcision-Chennai,Circumcision-Chennai-Video,Meta Leads,16,32035,48834,440.41,7046.60,275,0.56313224,25.624,2023-09-01,2023-09-30,,
Piles-Chennai-Sep23,Piles-Chennai-Video,Meta Leads,14,24691,44212,492.24,6891.42,504,1.139962,13.67345238,2023-09-01,2023-09-30,,
Gynecomastia-Trivandrum-Sep23,Gynecomastia-Trivandrum-Video,Meta Leads,30,51007,82533,218.79,6563.56,541,0.65549538,12.13227357,2023-09-01,2023-09-30,,
Piles-Coimbatore-Sep23,Piles-Coimbatore-Video,Meta Leads,8,20100,30527,744.51,5956.08,435,1.42496806,13.69213793,2023-09-01,2023-09-30,,
Circumcision-Coimbatore-Sep23,Circumcision-Coimbatore-Video,Meta Leads,9,19464,31870,646.69,5820.21,326,1.02290555,17.85340491,2023-09-01,2023-09-30,,
Gynecomastia-Kochi-Sep23,Gynecomastia-Kochi-Video,Meta Leads,20,41744,62164,276.73,5534.57,323,0.51959333,17.13489164,2023-09-01,2023-09-30,,
Circumcision-Coimbatore,Circumcision-Coimbatore-Video,Meta Leads,1,27411,39757,4892.60,4892.60,273,0.68667153,17.92161172,2023-09-01,2023-09-30,,
Circumcision-Vizag-Sep23,Circumcision-Vizag-Banana on surgeon's hand,Meta Leads,5,39688,53584,975.78,4878.91,249,0.46469095,19.59401606,2023-09-01,2023-09-30,,
Varicose Vein-Bangalore-Sep23,Varicose Vein-Bangalore-Video,Meta Leads,10,17528,24411,473.67,4736.68,311,1.27401581,15.23048232,2023-09-01,2023-09-30,,
Circumcision-Kochi,Circumcision-Kochi-Rollon,Meta Leads,4,25236,39442,1168.19,4672.76,277,0.70229704,16.86916968,2023-09-01,2023-09-30,,
Lipoma-Chennai-Sep23,Lipoma-Chennai-Video,Meta Leads,6,74396,88594,770.08,4620.49,168,0.18962909,27.50291667,2023-09-01,2023-09-30,,
Gynecomastia-Hyderabad-Sep23,Gynecomastia-Hyderabad-Video,Meta Leads,20,48432,61004,228.63,4572.55,225,0.36882827,20.32244444,2023-09-01,2023-09-30,,
Circumcision-Chennai,Circumcision-Chennai-Pen,Meta Leads,5,15655,23302,870.01,4350.05,98,0.42056476,44.38826531,2023-09-01,2023-09-30,,
